"%s was added to your shopping cart.","%s 增加到您的购物车。"
"%s was updated in your shopping cart.","%s 更新到您的购物车。"
"* Required Fields","*必填栏目"
"Add New Address","增加新地址"
"Add New Condition","添加新条款"
"Add coupon code for shopping cart","添加优惠代码到购物车"
"Add product to shopping cart","添加产品到购物车"
"Add product(s) to shopping cart","添加产品到购物车"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入收藏"
"Additional Product Info","附加产品信息"
"Address","地址"
"Address %s of %s","第%s个地址，共%s个"
"After Adding a Product Redirect to Shopping Cart","加入产品后转到购物车"
"Allow Guest Checkout","允许访客结帐"
"Already registered?","已注册？"
"An error occurred in the process of payment","支付过程发生错误"
"An error occurred while deleting this condition.","删除条款时出错。"
"An error occurred while saving this condition.","保存条款时出错。"
"Apply Coupon","使用优惠券"
"Are you sure you would like to remove this item from the shopping cart?","您确认要从购物车中删除该产品吗？"
"Back","返回"
"Back to Billing Information","返回帐单信息"
"Back to Select Addresses","返回选择地址"
"Back to Shipping Information","返回送货信息"
"Back to Shopping Cart","返回购物车"
"Based on your selection, you may be interested in the following items:","基于您的选择，您也许对以下产品感兴趣："
"Billing Address","账单地址"
"Billing Information","账单信息"
"Billing Information - %s","账单信息 - %s"
"Cancel Coupon","取消优惠券"
"Cannot add item to the shopping cart.","无法添加条目到购物车"
"Cannot add the item to shopping cart","无法添加条目到购物车"
"Cannot add the item to shopping cart.","无法添加条目到购物车。"
"Cannot apply the coupon code.","无法使用优惠代码。"
"Cannot configure product.","无法配置产品。"
"Cannot open the overview page","无法打开概述页面"
"Cannot process the item.","无法处理该条目。"
"Cannot remove the item.","无法删除该条目。"
"Cannot update shopping cart.","无法更新购物车。"
"Cannot update the item.","无法更新条目。"
"Card Verification Number Visual Reference","信用卡校验码可视参照"
"Cart Product Api","购物车产品 Api"
"Cart Subtotal:","购物车小计："
"Change","修改"
"Change Billing Address","修改账单地址"
"Checkbox Text","选框提示文字"
"Checkout","结 帐"
"Checkout Conditions","购买条款"
"Checkout Method","结帐方法"
"Checkout Options","结帐选项"
"Checkout Progress Wrapper","结帐进程外观"
"Checkout Section","结账单元"
"Checkout Terms and Conditions","购买条款"
"Checkout as Guest","以访客身份结帐"
"Checkout as a Guest or Register","以访客身份结帐或注册账号"
"Checkout with Multiple Addresses","使用多个地址结帐"
"City","城市"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","点击 <a href=""%s"" onclick=""this.target=\'_blank\'"">这里打印</a> 您的订阅确认信息。"
"Click <a href=""%s"">here</a> to continue shopping.","点击 <a href=""%s"">这里</a> 继续购物。"
"Close","关闭"
"Company","公司"
"Condition Name","条款名称"
"Configurable Product Image","设置产品图片"
"Configure Cart Item","设置购物车条目"
"Confirm Password","确认密码"
"Content","内容"
"Content Height","内容显示高度"
"Content Height (css)","内容显示高度 (css)"
"Continue","继续"
"Continue Shopping","继续购物"
"Continue to Billing Information","继续账单信息"
"Continue to Review Your Order","继续查看订单"
"Continue to Shipping Information","继续送货信息"
"Country","国家"
"Coupon code ""%s"" is not valid.","优惠券代码""%s""不正确"
"Coupon code ""%s"" was applied.","使用优惠券代码 ""%s""."
"Coupon code was canceled.","取消优惠券代码。"
"Create Billing Address","创建账单地址"
"Create Shipping Address","创建送货地址"
"Create an order from shopping cart","从购物车中创建订单"
"Create shopping cart","创建购物车"
"Customer Information","顾客信息"
"Customer's information","顾客信息"
"Data saving problem","保存数据错误"
"Default Billing","缺省账单"
"Default Shipping","缺省送货"
"Delete Condition","删除条款"
"Details","信息详情"
"Disabled","禁用"
"Discount Codes","优惠券代码"
"Display Cart Summary","购物车显示"
"Display Shopping Cart Sidebar","显示购物车侧栏"
"Display item quantities","产品数量"
"Display number of items in cart","产品品种的数量"
"Display number of items in wishlist","显示收藏夹条目"
"Easy access to your order history and status","查阅订单记录和订单状态"
"Edit","修改"
"Edit Address","修改地址"
"Edit Billing Address","修改账单地址"
"Edit Items","修改产品"
"Edit Shipping Address","修改送货地址"
"Edit Terms and Conditions","编辑条款"
"Edit Your Cart","修改购物车"
"Edit item","编辑条目"
"Edit item parameters","编辑条目参数"
"Email Address","电子邮件地址"
"Enable Onepage Checkout","启用单页结帐"
"Enable Terms and Conditions","启用购买条款"
"Enabled","启用"
"Enter a New Address","输入新的地址"
"Enter your coupon code if you have one.","如果有优惠券代码，请输入。"
"Enter your destination to get a shipping estimate.","输入目的地查看运费"
"Estimate Shipping and Tax","运费查询"
"Excl. Tax","不含税"
"Fast and easy check out","快速方便结帐"
"Fax","传真"
"Forgot an Item?","忘记产品了？"
"Forgot your password?","忘记密码了？"
"Get a Quote","查 看"
"Get list of available payment methods","获得可用付款方式列表"
"Get list of available shipping methods","获得可用货运方式列表"
"Get list of products in shopping cart","获得购物车中产品列表"
"Get terms and conditions","获得条款与规则"
"Get total prices for shopping cart","获取购物车全部价格"
"Grand Total:","总额："
"Grouped Product Image","组合产品的图片"
"HTML","HTML"
"ID","ID"
"Incl. Tax","含税"
"Invalid method: %s","不正确方法： %s"
"Item not found or already ordered","条目不存在或已经预定"
"Items","条记录"
"Items After","之后条目"
"Items Before","之前条目"
"Load customer quote error","加载客户询价错误"
"Loading next step...","加载下一步..."
"Login","登 录"
"Login/Registration Before","之前登录/注册"
"Manage Checkout Terms and Conditions","管理购买条款"
"Maximum Display Recently Added Item(s)","最近增加产品最大显示数"
"Maximum qty allowed for Shipping to multiple addresses is %s","允许的发货地址数量为%s"
"Move to Wishlist","移到收藏"
"Multishipping Checkout","多送货地址结帐"
"Multishipping Checkout Address (Any) Form","多送货地址结帐 地址表格"
"Multishipping Checkout Billing Address Creation","多送货地址结帐 帐单地址创建"
"Multishipping Checkout Billing Address Edit Form","多送货地址结帐 帐单地址编辑表格"
"Multishipping Checkout Billing Address Selection","多送货地址结帐 帐单地址选择"
"Multishipping Checkout Billing Information Step","多送货地址结帐 帐单信息步骤"
"Multishipping Checkout Customer Address Edit Form","多送货地址结帐 顾客地址编辑表格"
"Multishipping Checkout Overview","多送货地址结帐总览"
"Multishipping Checkout Shipping Address Creation","多送货地址结帐 送货地址创建"
"Multishipping Checkout Shipping Address Edit Form","多送货地址结帐 送货地址编辑表格"
"Multishipping Checkout Shipping Address Selection","多送货地址结帐 地址选择"
"Multishipping Checkout Shipping Information Step","多送货地址结帐 送货信息步骤"
"Multishipping Checkout Success","多送货地址结帐成功"
"My Cart","我的购物车"
"My Cart (%s item)","购物车 (%s条记录)"
"My Cart (%s items)","购物车 (%s条记录)"
"My Cart Link","我的购物车"
"New Address","新的地址"
"New Condition","新建条款"
"One Page Checkout","单页结帐"
"One Page Checkout Failure","单页结帐失败"
"One Page Checkout Overview","单页结帐总览"
"One Page Checkout Success","单页结帐成功"
"Order #","订单 #"
"Order Review","查看订单"
"Order Success","订单成功"
"Other Items in Your Order","您订购的其他产品"
"Overview Items After","之后条目总览"
"Password","密码"
"Payment Failed Email Reciever","支付失败邮件收件人"
"Payment Failed Email Sender","支付失败邮件发件人"
"Payment Failed Emails","支付失败邮件"
"Payment Failed Template","支付失败邮件模板"
"Payment Information","支付信息"
"Payment Method","支付方式"
"Payment Methods After Checkout Button","结帐按键之后的付款方式"
"Payment Methods Before Checkout Button","结帐按键之前的付款方式"
"Payment method information","支付方式信息"
"Payment method is not defined","支付方式为定义"
"Payment methods in shopping cart","购物车中的付款方式"
"Payment profile # %s: ""%s"".","付款配置 # %s: ""%s""."
"Place Order","提交订单"
"Please agree to all Terms and Conditions before placing the order.","在提交订单之前请选择同意所有购买条款。"
"Please agree to all Terms and Conditions before placing the orders.","在提交订单之前请选择同意所有购买条款。"
"Please agree to all the terms and conditions before placing the order.","在提交订单之前请选择同意所有的购买条款"
"Please log in below:","请在下面登录："
"Please select region, state or province","请选择省份或地区"
"Please select shipping address for applicable items","请选择产品送货地址"
"Please select shipping methods for all addresses","请选择所有地址的送货方式"
"Price","价格"
"Proceed to Checkout","结 帐"
"Product","产品"
"Product Name","产品名称"
"Products","产品"
"Qty","数量"
"Qty:","数量："
"Quantity was recalculated from %d to %d","从 %d 到 %d 的数量重新计算"
"Quote Lifetime (days)","报价有效期 (天)"
"Quote item does not exist.","引用条目不存在。"
"Quote item is not found.","没有找到引用条目。"
"Recently added item(s)","新增产品"
"Register","注册"
"Register and save time!","注册节省时间！"
"Register to Create an Account","注册帐户"
"Register with us for future convenience:","注册账号，方便以后操作："
"Remove Item","删除产品"
"Remove This Item","删除该条目"
"Remove coupon code from shopping cart","从购物车中删除优惠代码"
"Remove item","删除记录"
"Remove product from shopping cart","从购物车删除产品"
"Remove product(s) from shopping cart","从购物车删除产品"
"Retrieve information about shopping cart","获取购物车信息"
"Review Order","查看订单"
"Review Order - %s","查看订单 - %s"
"Sales","销售"
"Save Condition","保存条款"
"Save in address book","保存到地址簿"
"Select Address","选择地址"
"Select Addresses","选择地址"
"Select Shipping Method","选择送货方式"
"Select State/Province...","选择省份..."
"Select a billing address from your address book or enter a new address.","从您的地址簿中选择账单地址，或者输入新的地址。"
"Select a shipping address from your address book or enter a new address.","从您的地址簿中选择送货地址，或者输入新的地址。"
"Send Payment Failed Email Copy Method","支付失败邮件副本发送方式"
"Send Payment Failed Email Copy To","发送支付失败邮件副本到"
"Send To","收货人"
"Separate by "","".","用 "",""隔开"
"Set customer for shopping cart","设置顾客购物车"
"Set customer's addresses in shopping cart","设置顾客购物车中的地址"
"Set payment method","设置付款方式"
"Set shipping method","设置配送方法"
"Ship to Multiple Addresses","发货到多个地址"
"Ship to different address","发货到不同地址"
"Ship to this address","发货到该地址"
"Shipping Address","送货地址"
"Shipping Information","送货信息"
"Shipping Method","送货方式"
"Shipping Methods","送货方式"
"Shipping To","收货地址"
"Shipping information","配送信息"
"Shipping method has not been selected yet","还未选择送货方式"
"Shipping methods in shopping cart","购物车中的货运方式"
"Shipping selection is not applicable.","无法进行货运选择。"
"Shopping Cart","购物车"
"Shopping Cart Form Before","之前的购物车表格"
"Shopping Cart Sidebar","购物车侧栏"
"Shopping Cart Sidebar Extra Actions","购物车侧栏额外操作"
"Shopping Cart is Empty","购物车空"
"Shopping cart ability to set coupon code","购物车允许设在优惠代码"
"Show Content as","内容显示格式"
"Some of the requested products are not available in the desired quantity.","部分请求产品没有要求的数量。"
"Some of the requested products are unavailable.","部分产品没有存货。"
"Some products quantities were recalculated because of quantity increment mismatch","由于数量增加不符合，部分产品数量重新计算"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"State/Province","省份"
"Status","状态"
"Store View","商店视图"
"Street Address","地址行一"
"Street Address %s","Street 街道地址 %s"
"Submitting order information...","提交订单信息..."
"Subtotal","小计"
"Telephone","电话"
"Terms and Conditions","条款"
"Terms and Conditions Information","条款信息"
"Terms and conditions","条款与条件"
"Text","纯文本"
"Thank you for your purchase!","感谢您的惠顾！"
"The condition has been deleted","该条款已经删除"
"The condition has been saved.","该条款已经保存。"
"The onepage checkout is disabled.","一页付款禁用。"
"The product could not be found.","无法找到该产品。"
"The product does not exist.","该产品不存在。"
"There are <a href=""%s"">%s items</a> in your cart.","您的购物车有 <a href=""%s"">%s 个</a> 条目。"
"There is <a href=""%s"">1 item</a> in your cart.","您的购物车有 <a href=""%s"">1个</a> 条目。"
"There was an error processing your order. Please contact us or try again later.","处理订单出错，请联系我们或稍后再试。"
"This condition no longer exists.","此条款不存在"
"Total","总额"
"Total for this address","该地址总额"
"Unable to set Payment Method.","无法设在付款方法。"
"Unit Price","单价"
"Update Cart","更新购物车"
"Update Qty &amp; Addresses","更新数量和地址"
"Update Shopping Cart","更新购物车"
"Update Total","更新总额"
"Update product quantities in shopping cart","更新购物车产品数量"
"Update product(s) quantities in shopping cart","更新购物车产品数量"
"Use Billing Address","使用账单地址"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我们正处理您的订单，您很快会收到含有订单详细内容的邮件。订单发货后，您会收到另一封含有查询订单状态链接的邮件。"
"You have no items in your shopping cart.","您的购物车中没有产品。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您会收到订单确认邮件，包含详细的订单内容以及查询订单状态的链接。"
"Your Checkout Progress","您的结帐进度"
"Your billing agreement # is: %s.","您的帐单协议 # 是： %s."
"Your order # is: %s.","您的订单 # 是： %s."
"Your order has been received","您的订单已收到"
"Your order number is ","您的订单号码是 "
"Your recurring payment profiles:","您的定期付款配置："
"Zip/Postal Code","邮编"
"osCommerce Orders","osCommerce 订单"
