"-OR-","-或者-"
"2-pixel perimeter around the header space.","在头部空白处2个像素."
"3D Secure","3D安全"
"3D Secure Card Validation","3D安全卡验证"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Maestro卡需要3D安全验证。支持美国运通卡需要额外的协议，更多请参见<a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>。"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">现在开始接受Paypal付款！</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","实时模式需要一个值。请参考您与CardinalCommerce的协议。"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH寄存（异议或者其它调查）"
"ACH Deposit (Reversal)","ACH寄存（付款人撤销）"
"ACH Funding for Funds Recovery from Account Balance","从帐户余额拨款以充ACH资金"
"ACH Withdrawal","ACH提款"
"API Authentication Methods","API校验方法"
"API Certificate","API证书"
"API Password","API 密码"
"API Signature","API 签名"
"API Username","API用户名"
"API Uses Proxy","API使用代理"
"API/Integration","API/Integration"
"API/Integration Settings","API/Integration 设置"
"Ability for buyer to purchase without PayPal account.","支持没有Paypal账号付款。"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","在您的购物车接受Paypal支付。Paypal将通过Payflow Pro支付网关执行信用卡支付。"
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","接受顾客不离开您的网站完成整个支付过程。许多流行的Web服务和购物车系统已内建Payflow支付网关，所以他们可以方便的建立此功能。"
"Acceptance Mark","授权标记"
"Acceptance Mark Image","授权标记图片"
"Account-to-Account Payment, initiated by PayPal","账户到帐户的支付，Paypal出品"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","添加快速结账按钮到您的购物车系统，快速方便的信用卡支付。Paypal为您处理所有支付操作。"
"Additional Options","附加选项"
"Address Verification System Response","地址验证系统响应"
"All the address information matched","所有地址信息已匹配"
"Allow in Billing Agreement Wizard","允许自动扣款协议向导"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","允许值: ""paypal"", ""primary"" (默认), your_custom_value (顾客个人资料设置的付款页面自定义风格)."
"Allowed Credit Card Types","允许的信用卡类型"
"Also affects mini-shopping cart.","对迷你购物车也有效。"
"Api/Integration","Api/Integration"
"Ask Customer","询问顾客"
"Attempted Authentication, Bad Result","认证时,返回数据失败"
"Attempted Authentication, Good Result","验证通过"
"Auction Payment other than through eBay","除了ebay，还有其它拍卖的付款"
"Authenticated, Bad Result","验证身份失败"
"Authenticated, Good Result","通过身份验证"
"Authorization","授权"
"Authorization transaction is required to void.","授权交易无效."
"Auto","自动"
"AutoSweep","AutoSweep"
"Available Balance","可用余额"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Billing Address","账单地址"
"Billing Agreement Signup ","签署自动扣款 "
"Billing Information","账单信息"
"Bonus for first ACH Use","第一次使用ACH奖励"
"Buyer Credit Payment","顾客赊欠"
"By default it is ""reports.paypal.com"".","默认为""reports.paypal.com""。"
"CVV2 Check Result by PayPal","CVV2 Paypal检查结果"
"Can not send new order email.","不能发送新订购邮件。"
"Cannot create target file for reading reports.","不能为读取报告建立目标文件。"
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Change Payment Method","更改支付方式"
"Change Shipping Address","更改运输地址"
"Charge-off","销账"
"Chargeback","退单"
"Chargeback by customer.","顾客退单。"
"Checkout with PayPal","用Paypal结账"
"Completion Date","完成日期"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","连接Paypal SFTP服务器获取新的报告。您确定执行吗？"
"Countries Payment Applicable From","适合付款的国家"
"Coupon Redemption","使用优惠券"
"Credit","赊欠"
"Credit Card Settings","信用卡设定"
"Currency Conversion required to cover negative balance","货币转换需要补足帐户负平衡"
"Custom","自定义"
"Custom Endpoint Hostname or IP-Address","自定义端点主机名或者IP地址"
"Custom Path","自定义路径"
"Customer complaint.","顾客投诉。"
"Customer did not include a confirmed address.","顾客信息未包含经过确认的地址。"
"Customer triggered a money-back guarantee.","顾客申请了退款。"
"Daily","日常"
"Debit","借方"
"Debit Card Cash Back","借记卡现金返还"
"Debit Card Transaction","借记卡交易"
"Debit or Credit","借记或赊欠（借记卡或信用卡）"
"Debug Mode","调试模式"
"Direct Payment API","Direct Payment API"
"Discount","折扣"
"Displays on catalog pages and homepage.","在商品页面和首页显示。"
"Don't have a PayPal account? Simply enter your email address.","没有Paypal账户？在这里填入您的邮箱地址吧。"
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","没有Paypal卖家帐户？没关系！您仍然可以通过Payflow Pro接受信用卡付款。"
"Dynamic","动态"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Edit Shopping Cart","编辑购物车"
"Email Associated with PayPal Merchant Account","与Paypal卖家账号关联的Email地址"
"Enable Automatic Fetching","允许自动获取"
"Enable PayPal Guest Checkout","允许Paypal非注册用户结账"
"Enabled","启用"
"Event","事件"
"Event Code","事件代码"
"Every 10 days","每10天"
"Every 14 days","每14天"
"Every 3 days","每3天"
"Every 30 days","每30天"
"Every 40 days","每40天"
"Every 7 days","每7天"
"Exact Match. Address and Postal Code. International","精确匹配. 地址和邮政编码.国际的"
"Exact Match. Address and Postal Code. UK-specific","精确匹配. 地址和邮政编码.英国专有"
"Exact Match. Address and nine-digit ZIP code","精确匹配. 地址和九位数邮政编码"
"Express Checkout","快速结账"
"Express Checkout (Payflow Edition) Settings","快速结账(Payflow版)设置"
"Express Checkout APIs","快速结账API"
"Express Checkout Settings","快速结账设置"
"Express Checkout and Order have been canceled.","快速结账和订单已取消。"
"Express Checkout has been canceled.","快速结账已取消。"
"Failed to fetch reports from '%s@%s'.","从 '%s@%s' 获取报告失败。"
"Fee Amount","手续费金额"
"Fee Debit or Credit","借记或者赊欠手续费"
"Fee Reversal","取消手续费"
"Fee: Foreign ACH Withdrawal","手续费：国外ACH取款"
"Fee: Mass Pay Request","手续费：大额付款请求"
"Fee: Web Site Payments Pro Account Monthly","手续费：高级账号按月网站支付"
"Fee: WorldLink Check Withdrawal","手续费：WorldLink支票撤销"
"Fetch","获取"
"Fetch Updates","获取更新"
"Fetched %s report rows from '%s@%s'.","已获取%s报告行（来自'%s@%s'）。"
"Frontend Experience Settings","前台体验设置"
"Funding","资金"
"General (Authorization)","General (Authorization)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","General (Funds Transfer from PayPal Account to Another)"
"General (Purchase with a credit card)","General (Purchase with a credit card)"
"General Adjustment without businessrelated event","General Adjustment without businessrelated event"
"General Currency Conversion","General Currency Conversion"
"General Funding of PayPal Account ","General Funding of PayPal Account "
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","General Withdrawal from PayPal Account"
"General. Product no longer supported","General. Product no longer supported"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Use of PayPal account for purchasing as well as receiving payments"
"General: Withdrawal from PayPal Account","General: Withdrawal from PayPal Account"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Get Credentials from PayPal","从Paypal获取证书"
"Gift Certificate Payment: purchase of Gift Certificate","礼物券支付：礼物券购买"
"Gift Certificate Redemption","使用礼物券"
"Gross Amount","总额"
"Header Background Color","头部背景颜色"
"Header Border Color","头部边框颜色"
"Header Image URL","头部图片URL"
"Help","帮助"
"Hidden Virtual PayPal Debit Card Transaction","隐藏虚拟Paypal借记卡交易"
"Hold for Dispute Investigation","异议调查冻结"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","如果为空，将使用默认值。自定义URL可以被CardinalCommerce协议支持。"
"If not specified, Default Country from General Config will be used","如果未指定，将使用在<一般配置>里设置的缺省国家。"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","如果启用本选项，顾客将可以在Paypal网站更改配送地址和配送方式。实时模式只有采用HTTPS协议生效。"
"Impossible to issue a refund transaction because the capture transaction does not exist.","不能提交退款交易，因为过账交易不存在。"
"Incentive","激励"
"Initiation Date","初始化日期"
"Invoice ID","发票编号"
"Issuer Liability","开票人责任"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","对于每一个商店界面，推荐设置该值为""借记卡或信用卡""。"
"It is recommended to set this value to ""PayPal"" per store views.","对于每一个商店界面，推荐设置该值为""Paypal""。"
"Items in Your Shopping Cart","购物车中商品"
"Last Correlation ID","最新关联编号"
"Last Transaction ID","最新交易编号"
"Learn More","了解更多"
"Login","登录"
"Looking for PayPal? We have our own tab to the left under Sales.","Looking for PayPal? We have our own tab to the left under Sales."
"Mass Pay Payment","大额付款"
"Matched (CVV2)","匹配的(CVV2)"
"Matched (CVV2CSC)","匹配的(CVV2CSC)"
"Matched Address only (no ZIP)","只匹配地址(没有邮政编码)"
"Matched Address only (no ZIP). International","只匹配地址(没有邮政编码).国际的"
"Matched Postal Code only (no Address)","只匹配邮政编码(不匹配地址)"
"Matched five-digit ZIP only (no Address)","只匹配五位数邮编(不匹配地址)"
"Matched whole nine-didgit ZIP (no Address)","匹配九位数邮编(没有地址)"
"Merchant Account","卖家帐户"
"Merchant Country","卖家国家"
"Merchant Liability","卖家责任"
"Merchant Protection Eligibility","具备卖家保护资格"
"Merchant Referral Bonus","卖家推荐奖励"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","卖家为非美国账户，无退款机制。"
"Merchant reference ID format is not supported.","不支持卖家关联编号格式。"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","卖家需要向Paypal申请支持定期扣款功能。在Paypal确认开通您的账号定期扣款功能前，不要打开这个选项。"
"Mobile Payment (made via a mobile phone)","手机支付"
"N/A","不可用"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. 地址未确认，或者对方无反应，服务不可用"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. 卖家反映卡片上无CVV2码"
"N/A. No response","N/A. 无回应"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Not allowed for MOTO (Internet/Phone) transactions"
"N/A. Not processed","N/A. 未执行"
"N/A. Retry","N/A. 请重试"
"N/A. Service not Supported","N/A.服务不支持"
"N/A. Service not available","N/A.服务不存在"
"N/A. Service not supported","N/A.服务不支持"
"N/A. The merchant did not provide AVS information","N/A.卖家未提AVS信息"
"N/A. The merchant has not implemented CVV2 code handling","N/A. 卖家未执行CVV2码操作"
"N/A. Unavailable","N/A.不存在"
"Negative Balance","负数结余"
"Never","绝不"
"No","否"
"No Details matched","细节不匹配"
"No Details matched. International","细节不匹配.国际的"
"No Liability Shift","没有债务转移"
"No Logo","No Logo"
"No match","不匹配"
"None of the address information matched","没有匹配的地址信息"
"Note: %s","注意: %s"
"Nothing to fetch because of an empty configuration.","配置空，未取到任何值。"
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","请注意，Paypal最多只能处理10种物流方式。如果您设置了超过10种物流方式，Magento只会传递最便宜的10个方式给Paypal。"
"Notified customer about creditmemo #%s.","顾客欠款通知已完成 #%s."
"Notified customer about invoice #%s.","顾客发票已发送 #%s."
"Now accepting PayPal (150 X 40)","现在接受Paypal(150 X 40)"
"Now accepting PayPal (150 X 60)","现在接受Paypal(150 X 60)"
"Open Authorization","开放授权"
"Order","订单"
"Order ID","订单编号"
"Page Background Color","页面背景色"
"Page Style","页面样式"
"Part of the address information matched","地址信息部分匹配"
"Partner","Partner"
"Password","密码"
"Pay Now","现在付款"
"PayPal","Paypal"
"PayPal Balance Manager function of PayPal account","Paypal账号的余额管理功能"
"PayPal Buyer Warranty Bonus","Paypal消费者质保奖励"
"PayPal Debit Card Cash Advance","Paypal借记卡取现"
"PayPal Debit Card Withdrawal from ATM","Paypal借记卡ATM机提款"
"PayPal Express Checkout Shortcut Wrapper","Paypal快速支付按钮"
"PayPal Express Checkout Token does not exist.","Paypal快速支付安全令牌不存在."
"PayPal Express Order Review Form","Paypal订单评价表"
"PayPal Fee Information","Paypal手续费信息"
"PayPal Merchant Pages Style","Paypal商人帐户页面风格"
"PayPal Product Logo","Paypal商品图标"
"PayPal Protection Bonus","Paypal保护奖励"
"PayPal Reference ID","Paypal引用编号"
"PayPal Reference ID Type","Paypal引用编号类型"
"PayPal Settlement Reports","Paypal结算报告"
"PayPal certificate does not exist.","Paypal证书不存在。"
"PayPal certificate file is empty.","Paypal证书文件为空。"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","Paypal不支持零元订单。如欲完成您的购物，请执行标准结账进程。"
"PayPal gateway has rejected request. %s","Paypal网关拒绝您的请求 %s"
"PayPal processes all of your orders, and you get paid.","所有订单请交给Paypal处理，您只需收钱。"
"PayPal response hasn't required fields.","Paypal响应无需要的域。"
"PayPal retains reports for 45 days.","Paypal保存报告45天。"
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","付款人地址编号"
"Payer Address Status","付款人地址状态"
"Payer Email","付款人Email"
"Payer Email: %s","付款人Email: %s"
"Payer ID","付款人编号"
"Payer Status","付款人状态"
"Payer is not identified.","付款人身份未确认。"
"Payflow Link (for USA and Canada)","Payflow Link(适于美国和加拿大)"
"Payflow Link Settings","Payflow Link 设置"
"Payflow Pro Gateway","Payflow Pro 支付网关"
"Payflow Pro Settings","Payflow Pro 设置"
"Payment Action","付款操作"
"Payment Applicable From","付款适合"
"Payment Method","付款方式"
"Payment Refund initiated by merchant","卖家发起退款"
"Payment has been declined. Please try again.","支付被拒绝，请重试。"
"Payments by PayPal (150 X 40)","Payments by PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Payments by PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","信用卡支付 + 卖家保护 - <strong style=""color:red"">激活之前请联系Paypal</strong>"
"Paypal Billing Agreement Settings","Paypal自动扣款设置"
"Pending PayPal","等待PayPal"
"Place Order","提交订单"
"Please do not refresh the page until you complete payment.","完成支付之前，请不要刷新本页面。"
"Please select a shipping method...","请选择物流方式..."
"Points Incentive Redemption","使用奖励点"
"Postage Payment to either USPS or UPS","支付邮资给USPS或者UPS"
"Preapproved Payment (BillUser API), either sent or received","定金支付(BillUser API), 接受或者支付"
"Preapproved Payment ID","定金支付编号"
"Price","价格"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","采用Paypal一体化在线支付解决方案(all-in-one online payment processing solution)，可以直接在您的网站处理信用卡付款。"
"Product Name","商品名称"
"Proxy Host","代理服务器"
"Proxy Port","代理服务器端口"
"Qty","数量"
"Quick set-up service lets your customers securely complete transactions.","快速设置服务，让您的顾客安全完成支付。"
"Reauthorization","重新授权"
"Reference Information","相关信息"
"Refund issued by merchant.","卖家发起的退款"
"Reimbursement for a chargeback.","偿付一个退单。"
"Reimbursement of Chargeback","退单偿付"
"Report Date","报告日期"
"Reports","报告"
"Require CVV Entry","需要输入CVV码"
"Reversal","回转"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Review Order","评价订单"
"Reward Voucher Redemption","兑换奖励券"
"SFTP Credentials","SFTP证书"
"Sale","销售"
"Sales","销售"
"Sandbox Credentials","沙盒证书"
"Sandbox Mode","沙盒模式"
"Schedule","日程表"
"Schedule description is too long.","日程描述太长。"
"Scheduled Fetching","定期获取"
"Select a PayPal Solution","请选择Paypal解决方案"
"Settlement Consolidation","结算合并"
"Settlement Report Settings","结算报告设置"
"Settlement of a chargeback.","退单结算。"
"Severe 3D Secure Card Validation","3D安全卡严格验证"
"Severe Validation Removes Chargeback Liability on Merchant","严格验证移除卖家退单义务"
"Severe validation removes chargeback liability on merchant.","严格验证移除卖家退单义务。"
"Shipping","配送"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shop now using (150 X 40)","Shop now using (150 X 40)"
"Shop now using (150 X 60)","Shop now using (150 X 60)"
"Shortcut","快捷方式"
"Shortcut Buttons Flavor","快捷方式按钮风格"
"Shortcut on Product View","商品浏览快捷方式"
"Shortcut on Shopping Cart","购物车快捷方式"
"Sign a billing agreement to streamline further purchases with PayPal.","在Paypal签定定期扣款协议，简化您以后的购物流程。"
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","对不起，现在没有针对这个订单的报价。"
"Sort Order","排序"
"Static","静态的"
"Submitting order information...","提交订单信息 ..."
"Subscriber name is too long.","预约者名字太长。"
"Subscription ID","预约编号"
"Subscription Payment, either payment sent or payment received","预约支付，付款或者收账"
"Subtotal","小计"
"Summary Text for Aggregated Cart","所有购物车的文本摘要"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","支持美国运通卡需要额外协议。 进一步详情见<a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a> 。"
"Switch/Maestro","Switch/Maestro"
"Test Mode","测试模式"
"The background color for the checkout page around the header and payment form.","支付页面头部和付款表格的背景色."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","支付页面的背景色. Case-insensitive六位字母HTML十六进制的ASCII颜色代码."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","支付页面左上的图片.最大尺寸750x90像素.鼓励 <strong style=""color:red"">https</strong>."
"The merchant account is not yet verified.","此卖家帐户未被认证。"
"The payment curency does not match any of the merchant\'s balances currency.","支付货币未与任何一个卖家余额的货币类型匹配。"
"The payment eCheck is not yet cleared.","此支付的eCheck未被清除。"
"The payment is authorized but not settled.","支付被授权，但未最终偿付。"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","支付被挂起，因为该支付动作指向一个未注册或确认的邮箱地址。"
"The payment is pending while it is being reviewed by PayPal for risk.","Paypal提示存在风险，支付被挂起。"
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","该支付通过信用卡建立。为了接受此支付，需升级您的账号为Business或Premier状态。"
"There was an error processing your order. Please contact us or try again later.","处理您的订单时出现错误，请联系我们或者稍后重试。"
"Time of Day","时间"
"Title","标题"
"Transaction ID","交易编号"
"Transaction Information","交易信息"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Transfer Shipping Options","Transfer Shipping Options"
"Triggered Fraud Filters","被动触发欺骗过滤器"
"Unable to cancel Express Checkout.","无法取消快速结账。"
"Unable to change status. Current status is not correspond to real status.","无法改变状态。当前状态与实际状态不符。"
"Unable to communicate with the PayPal gateway.","无法与Paypal网关通信。"
"Unable to initialize Express Checkout review.","无法初始化快速结账评价。"
"Unable to initialize Express Checkout.","无法初始化快速结账。"
"Unable to place the order.","无法下订单。"
"Unable to process Express Checkout approval.","无法进行快速结账验证。"
"Unable to start Express Checkout.","无法快速结账。"
"Unable to update shipping method.","无法更新运输方式."
"Unknown reason. Please contact PayPal customer service.","未知原因。请联系Paypal客服。"
"Update Shipping Method","更新运输方式"
"Use Proxy","使用代理"
"Use colon to specify port. For example: ""test.example.com:5224"".","使用冒号指定端口，比如""test.example.com:5224"" 。"
"User","用户"
"User-initiated Currency Conversion","用户启动的货币转换"
"Uses store frontend name by default.","默认使用商店前台名字"
"Vendor","销售"
"View","查看"
"View Demo","查看演示"
"View PayPal solutions.","查看Paypal解决方案。"
"View Transaction","查看交易"
"View Transaction Details","参看交易详情"
"Virtual PayPal Debit Card Transaction","虚拟Paypal借记卡交易"
"Virtual Terminal Payment","虚拟终端支付"
"Void","空"
"We prefer PayPal (150 X 40)","We prefer PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","We prefer PayPal (150 X 60)"
"Website Payments Pro","网站高级支付"
"Website Payments Pro (Payflow Edition) Settings","网站高级支付(Payflow版)设置"
"Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))","网站高级支付系统托管方案(Website Payments Plus (JP/日本) - Integral Evolution (FR/法国) - PayPal Pro (IT/意大利) - Pasarela integral (ES/西班牙))"
"Website Payments Pro Hosted Solution Settings","网站高级支付系统托管方案设置"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Payflow版网站高级支付(含快速结账)"
"Website Payments Pro Settings","网站高级支付设置"
"Website Payments Standard","网站标准支付"
"Website Payments Standard Payment","网站标准支付"
"Website Payments Standard Settings","网站标准支付设置"
"What is PayPal?","Paypal是啥？"
"Whether to create a billing agreement, if there are no active billing agreements available.","如果无可用的自动扣款协议，是否建立新的自动扣款。"
"Will appear as a payment option only for customers who have at least one active billing agreement.","只对至少有一个自动扣款协议的顾客显示。"
"WorldLink Withdrawal","WorldLink取款"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","为了简化您以后使用Paypal付款流程，您想签署一份自动扣款协议吗"
"Wrong PayPal Express Checkout Token specified.","错误Paypal快速结账安全令牌。"
"Yes","是"
"Yes. Matched Address and five-didgit ZIP","是. 地址和五位数邮政编码匹配"
"You will be redirected to the PayPal website in a few seconds.","您将在几秒后重定向至Paypal网站。"
"You will be redirected to the PayPal website when you place an order.","当您提交订单时，将被重定向至Paypal网站。"
"You will be redirected to the PayPal website.","您将被重定向至Paypal网站"
"You will be required to enter your payment details after you place an order.","提交订单之后，您需要输入您的详细付款信息。"
"eBay Auction Payment","eBay拍卖付款"
